trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
36.0879097,-115.17655945,#CiscoLive,4,20240409-00000,2024-04-09 19:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,1C:FC:17:92:84:0E,,infra,,3,0,?,?,?,False,120,cae505 f4f5e8f5f4,wpa3,US,NV,Four Seasons Drive,,,89119-1001
36.08776474,-115.17617035,#CiscoLive,4,20240409-00000,2024-04-09 16:00:00+00:00,2024-06-03 20:00:00+00:00,2024-06-03 21:00:00+00:00,1C:FC:17:92:89:AE,,infra,,3,0,?,?,?,False,136,cae505 f4f5e8f5f4,wpa3,US,NV,Four Seasons Drive,,,89119-1001
36.08804703,-115.17651367,#CiscoLive,5,20240409-00000,2024-04-09 15:00:00+00:00,2024-06-04 22:00:00+00:00,2024-06-04 22:00:00+00:00,1C:FC:17:92:89:CE,,infra,,3,0,?,?,?,False,100,cae505 f4f5e8f5f4,wpa3,US,NV,Four Seasons Drive,,,89119-1001
36.08745193,-115.17391205,#CiscoLive,5,20240409-00000,2024-04-09 23:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,24:16:1B:15:F4:8E,,infra,,3,0,?,?,?,False,132,cae505 f4f5e8f5f4,wpa3,US,NV,Four Seasons Drive,,,89119-1001
36.08955383,-115.17420197,#CiscoLive,3,20240409-00000,2024-04-09 23:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,24:16:1B:15:F6:8E,,infra,,3,0,?,?,?,False,140,cae505 f4f5e8f5f4,wpa3,US,NV,Four Seasons Drive,,,89119-1001
36.0872879,-115.17394257,#CiscoLive,5,20240409-00000,2024-04-09 23:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,24:16:1B:3E:02:2E,,infra,,3,0,?,?,?,False,56,cae505 f4f5e8f5f4,wpa3,US,NV,Four Seasons Drive,,,89119-1001
36.08904648,-115.17684174,#CiscoLive,5,20240409-00000,2024-04-10 02:00:00+00:00,2024-06-04 22:00:00+00:00,2024-06-04 22:00:00+00:00,24:16:1B:3E:0D:EE,,infra,,3,0,?,?,?,False,64,cae505 f4f5e8f5f4,wpa3,US,NV,Four Seasons Drive,,,89119-1001
36.08922958,-115.17700195,#CiscoLive,7,20240409-00000,2024-04-09 15:00:00+00:00,2024-06-04 22:00:00+00:00,2024-06-04 22:00:00+00:00,24:16:1B:3E:0E:8E,,infra,,3,0,?,?,?,False,60,cae505 f4f5e8f5f4,wpa3,US,NV,Four Seasons Drive,,,89119-1001
36.08916855,-115.17697144,#CiscoLive,7,20240409-00000,2024-04-09 15:00:00+00:00,2024-06-04 22:00:00+00:00,2024-06-04 22:00:00+00:00,24:16:1B:3E:14:4E,,infra,,3,0,?,?,?,False,112,cae505 f4f5e8f5f4,wpa3,US,NV,Four Seasons Drive,,,89119-1001
36.08917618,-115.17416382,#CiscoLive,4,20240409-00000,2024-04-09 17:00:00+00:00,2024-06-03 15:00:00+00:00,2024-06-03 15:00:00+00:00,24:16:1B:3E:19:0E,,infra,,3,0,?,?,?,False,52,cae505 f4f5e8f5f4,wpa3,US,NV,Four Seasons Drive,,,89119-1001
